R,Team,TotalTackles,DribbledPast,TotalAttemptedTackles,Rating,R,Team,Total,Rating,R,Team,Fouled,Fouls,Rating,R,Team,Yellow,Red,Rating,R,Team,CaughtOffside,Rating,R,Team,Total,Rating,R,Team,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Unsuccessful,Successful,Total Dribbles,Rating,R,Team,UnsuccessfulTouches,Dispossessed,Rating,R,Team,Total,Won,Lost,Rating,R,Team,Total,AccLB,InAccLB,AccSP,InAccSP,Rating,R,Team,Total,Long,Short,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating,R,Team,Total,OpenPlay,Counter,SetPiece,PenaltyTaken,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Rating,League,R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating,R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating,R,Team,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Rating
7,Eintracht Frankfurt,17.8,11.5,29.2,6.76,7,Eintracht Frankfurt,11,6.76,7,Eintracht Frankfurt,10.6,12,6.76,7,Eintracht Frankfurt,1.8,0.1,6.76,7,Eintracht Frankfurt,1.9,6.76,7,Eintracht Frankfurt,15.3,6.76,7,Eintracht Frankfurt,3.1,1.7,8.6,6.76,7,Eintracht Frankfurt,3.6,0,2.1,1.5,6.76,7,Eintracht Frankfurt,15,4.8,1.5,8.7,6.76,7,Eintracht Frankfurt,1.6,0.6,0.9,0,6.76,7,Eintracht Frankfurt,6,9.7,15.7,6.76,7,Eintracht Frankfurt,15.8,8.6,6.76,7,Eintracht Frankfurt,39.8,19.9,19.8,6.76,7,Eintracht Frankfurt,407.1,31.1,34.8,274.2,67.1,6.76,7,Eintracht Frankfurt,11.3,2.6,8.6,6.76,7,Eintracht Frankfurt,0.6,0.2,0,0,0,0.6,1.2,6.76,7,Eintracht Frankfurt,15,10,0.5,4.5,0,6.76,7,Eintracht Frankfurt,4.3,1.3,0.2,0.5,0,6.5,6.76,Bundesliga,7,Eintracht Frankfurt,13,17.8,11,12,1.9,6.76,7,Eintracht Frankfurt,38,15,433,48.6,75,19.9,6.76,7,Eintracht Frankfurt,7,19.5,2.5,4,9.4,2.1,6.76
8,FC Koln,18.4,11.5,29.9,6.72,8,FC Koln,13.6,6.72,8,FC Koln,12.5,13.8,6.72,8,FC Koln,2.4,0.1,6.72,8,FC Koln,2.3,6.72,8,FC Koln,20.1,6.72,8,FC Koln,3.2,1.6,8.6,6.72,8,FC Koln,2.5,0,1.2,1.4,6.72,8,FC Koln,13,4.4,1.2,7.4,6.72,8,FC Koln,1.6,0.4,0.9,0.2,6.72,8,FC Koln,5.7,8.2,13.9,6.72,8,FC Koln,16,9,6.72,8,FC Koln,39.9,20.4,19.4,6.72,8,FC Koln,387.6,32.6,32.5,262.1,60.4,6.72,8,FC Koln,9.8,1.4,8.4,6.72,8,FC Koln,0.4,0.1,0.2,0.1,0,0.6,1.2,6.72,8,FC Koln,13,8.2,0.7,4.1,0,6.72,8,FC Koln,3,0.8,0.4,0.6,0.1,6.2,6.72,Bundesliga,8,FC Koln,13.7,18.4,13.6,13.8,2.3,6.72,8,FC Koln,39,13,593,46.8,76,20.4,6.72,8,FC Koln,5.2,15,1.9,3.3,10.3,2,6.72
9,Schalke 04,17,11.4,28.4,6.71,9,Schalke 04,11.7,6.71,9,Schalke 04,11.1,11.4,6.71,9,Schalke 04,1.7,0,6.71,9,Schalke 04,2.4,6.71,9,Schalke 04,18.4,6.71,9,Schalke 04,3.6,1,10.4,6.71,9,Schalke 04,3.6,0.1,2.2,1.3,6.71,9,Schalke 04,11.7,4.6,0.5,6.6,6.71,9,Schalke 04,1.3,0.2,0.8,0.2,6.71,9,Schalke 04,7.9,11.9,19.8,6.71,9,Schalke 04,18.8,12.4,6.71,9,Schalke 04,37.2,19,18.2,6.71,9,Schalke 04,434.8,28.2,34.4,312,60.2,6.71,9,Schalke 04,8.5,1.6,6.9,6.71,9,Schalke 04,0.1,0,0,0,0,0.7,0.8,6.71,9,Schalke 04,11.7,7.7,0.6,3.4,0,6.71,9,Schalke 04,2.2,1,0.3,0.6,0,5.8,6.71,Bundesliga,9,Schalke 04,14.4,17,11.7,11.4,2.4,6.71,9,Schalke 04,33,11.7,421,50.8,78.2,19,6.71,9,Schalke 04,3.5,9.9,2.4,2.7,8.8,2.7,6.71
10,Union Berlin,16.3,10.4,26.7,6.7,10,Union Berlin,13,6.7,10,Union Berlin,10.5,15.6,6.7,10,Union Berlin,2,0.2,6.7,10,Union Berlin,1.9,6.7,10,Union Berlin,21.7,6.7,10,Union Berlin,3.4,1.8,8.4,6.7,10,Union Berlin,3.5,0.3,2.1,1.2,6.7,10,Union Berlin,12.6,4.7,1,6.8,6.7,10,Union Berlin,1.3,0.2,0.8,0.2,6.7,10,Union Berlin,5.6,7.9,13.5,6.7,10,Union Berlin,15.3,7.9,6.7,10,Union Berlin,53.4,28.2,25.2,6.7,10,Union Berlin,357.3,30.5,40.7,219.3,66.8,6.7,10,Union Berlin,8.7,1.8,7,6.7,10,Union Berlin,0.3,0.2,0,0.1,0,0.5,0.8,6.7,10,Union Berlin,12.6,7.4,0.5,4.4,0.2,6.7,10,Union Berlin,2.8,1,0.1,0.7,0,5.4,6.7,Bundesliga,10,Union Berlin,14.8,16.3,13,15.6,1.9,6.7,10,Union Berlin,32,12.6,514,44,69.9,28.2,6.7,10,Union Berlin,5.1,13.3,1.6,2,7.2,3.6,6.7
11,Freiburg,13.6,9.8,23.5,6.69,11,Freiburg,9.8,6.69,11,Freiburg,12.9,9.6,6.69,11,Freiburg,1.3,0.1,6.69,11,Freiburg,1.4,6.69,11,Freiburg,21.9,6.69,11,Freiburg,4.7,2,7.5,6.69,11,Freiburg,4,0.1,2.4,1.6,6.69,11,Freiburg,13.4,4.6,1.3,7.5,6.69,11,Freiburg,1.4,0.3,0.7,0.2,6.69,11,Freiburg,5.8,7.4,13.2,6.69,11,Freiburg,15.2,8.3,6.69,11,Freiburg,40.9,19.6,21.3,6.69,11,Freiburg,421,30,35.5,299,56.5,6.69,11,Freiburg,9.7,2,7.7,6.69,11,Freiburg,0.2,0.1,0.1,0.1,0,0.4,0.8,6.69,11,Freiburg,13.4,8.6,0.2,4.4,0.2,6.69,11,Freiburg,3.4,1.1,0.6,0.6,0.1,5.4,6.69,Bundesliga,11,Freiburg,17.5,13.6,9.8,9.6,1.4,6.69,11,Freiburg,34,13.4,332,49.1,78.1,19.6,6.69,11,Freiburg,5.3,14.2,1.9,2.7,9.4,2.2,6.69
12,Hoffenheim,16.2,10.5,26.7,6.69,12,Hoffenheim,9.5,6.69,12,Hoffenheim,12,11,6.69,12,Hoffenheim,1.9,0,6.69,12,Hoffenheim,1.9,6.69,12,Hoffenheim,19.5,6.69,12,Hoffenheim,3.4,1.6,7.3,6.69,12,Hoffenheim,3.5,0.1,2.4,1,6.69,12,Hoffenheim,12.6,4.2,1,7.5,6.69,12,Hoffenheim,1.4,0.2,0.9,0.2,6.69,12,Hoffenheim,5.9,8.8,14.8,6.69,12,Hoffenheim,14,10.6,6.69,12,Hoffenheim,33.8,17.3,16.4,6.69,12,Hoffenheim,490,26.8,30.8,374.2,58.2,6.69,12,Hoffenheim,9.7,2.7,7,6.69,12,Hoffenheim,0.4,0.2,0.1,0,0,0.5,1,6.69,12,Hoffenheim,12.6,7.7,0.6,4.3,0.1,6.69,12,Hoffenheim,3.5,1.4,0.3,0.6,0,5.7,6.69,Bundesliga,12,Hoffenheim,14.9,16.2,9.5,11,1.9,6.69,12,Hoffenheim,35,12.6,470,52,81.8,17.3,6.69,12,Hoffenheim,5.4,11.8,2.4,2.6,11.3,1.6,6.69
13,Hertha Berlin,16.6,9.2,25.8,6.67,13,Hertha Berlin,12,6.67,13,Hertha Berlin,11,13.1,6.67,13,Hertha Berlin,2,0.1,6.67,13,Hertha Berlin,1.3,6.67,13,Hertha Berlin,22.2,6.67,13,Hertha Berlin,3.4,1.8,7.9,6.67,13,Hertha Berlin,3.7,0.2,2.1,1.4,6.67,13,Hertha Berlin,10.8,3.9,0.6,6.2,6.67,13,Hertha Berlin,1.3,0.1,0.9,0.2,6.67,13,Hertha Berlin,5.3,10.8,16.1,6.67,13,Hertha Berlin,16.2,10.6,6.67,13,Hertha Berlin,36.3,19.7,16.6,6.67,13,Hertha Berlin,398.6,33.4,33.6,272.8,58.7,6.67,13,Hertha Berlin,8,1.5,6.6,6.67,13,Hertha Berlin,0.3,0.1,0,0,0,0.6,1,6.67,13,Hertha Berlin,10.8,7,0.6,3.1,0,6.67,13,Hertha Berlin,2.6,0.8,0.1,0.6,0,5.2,6.67,Bundesliga,13,Hertha Berlin,14.1,16.6,12,13.1,1.3,6.67,13,Hertha Berlin,32,10.8,513,46.8,76.8,19.7,6.67,13,Hertha Berlin,4.2,11.5,1.6,2,9.7,2.6,6.67
14,Mainz 05,18.3,9.7,28,6.63,14,Mainz 05,10.9,6.63,14,Mainz 05,10.8,13.6,6.63,14,Mainz 05,2,0.1,6.63,14,Mainz 05,2,6.63,14,Mainz 05,21.1,6.63,14,Mainz 05,3.1,1.7,9,6.63,14,Mainz 05,3.6,0.2,1.8,1.6,6.63,14,Mainz 05,13.6,6,0.7,6.9,6.63,14,Mainz 05,1.4,0.2,0.9,0.1,6.63,14,Mainz 05,6.4,10.6,17,6.63,14,Mainz 05,18.4,10,6.63,14,Mainz 05,36,17,19.1,6.63,14,Mainz 05,359,24.7,33.6,242.9,57.8,6.63,14,Mainz 05,10.1,1.6,8.4,6.63,14,Mainz 05,0.2,0.1,0.2,0,0,0.7,1,6.63,14,Mainz 05,13.6,8.9,0.6,4.1,0.1,6.63,14,Mainz 05,2.8,1,0.4,0.6,0.1,6.6,6.63,Bundesliga,14,Mainz 05,15.2,18.3,10.9,13.6,2,6.63,14,Mainz 05,34,13.6,493,44.5,74.5,17,6.63,14,Mainz 05,4.4,13.3,1.7,3.1,8.3,2,6.63
15,Paderborn,20.4,13.5,33.9,6.57,15,Paderborn,10.6,6.57,15,Paderborn,10.2,12.6,6.57,15,Paderborn,2.3,0.1,6.57,15,Paderborn,2,6.57,15,Paderborn,22.4,6.57,15,Paderborn,3.4,2.1,9.6,6.57,15,Paderborn,3.2,0.2,2.2,0.7,6.57,15,Paderborn,12.6,5.6,0.7,6.2,6.57,15,Paderborn,1.2,0.3,0.6,0.2,6.57,15,Paderborn,9.6,12.3,21.9,6.57,15,Paderborn,19.2,10.9,6.57,15,Paderborn,32.2,14.6,17.6,6.57,15,Paderborn,394.2,26,29.3,278.4,60.4,6.57,15,Paderborn,9,2.2,6.8,6.57,15,Paderborn,0.2,0,0,0,0,0.6,0.9,6.57,15,Paderborn,12.6,8,0.7,3.7,0.1,6.57,15,Paderborn,1.7,0.6,0.2,0.4,0.2,6.8,6.57,Bundesliga,15,Paderborn,14.7,20.4,10.6,12.6,2,6.57,15,Paderborn,30,12.6,582,47,77.2,14.6,6.57,15,Paderborn,3.3,12.7,1.7,3.7,8.5,1.9,6.57
16,Augsburg,15,10.3,25.3,6.56,16,Augsburg,13.4,6.56,16,Augsburg,10.6,11.4,6.56,16,Augsburg,1.8,0.1,6.56,16,Augsburg,2.6,6.56,16,Augsburg,22.1,6.56,16,Augsburg,3.4,1.6,7,6.56,16,Augsburg,3,0.2,1.6,1.2,6.56,16,Augsburg,10.9,4.5,0.7,5.7,6.56,16,Augsburg,1.4,0.3,0.8,0.3,6.56,16,Augsburg,6.4,6.6,13,6.56,16,Augsburg,14.7,8.5,6.56,16,Augsburg,32.6,15.2,17.3,6.56,16,Augsburg,308,22,38.6,191.9,55.5,6.56,16,Augsburg,8,1.6,6.3,6.56,16,Augsburg,0.2,0,0.1,0,0,0.6,1,6.56,16,Augsburg,10.9,7.4,0.4,3,0.2,6.56,16,Augsburg,1.9,0.8,0.3,0.4,0.1,5.5,6.56,Bundesliga,16,Augsburg,14.3,15,13.4,11.4,2.6,6.56,16,Augsburg,36,10.9,462,40.1,69.5,15.2,6.56,16,Augsburg,3.6,10.4,1.8,1.8,7.6,3.4,6.56
17,Fortuna Duesseldorf,14.8,10.6,25.4,6.54,17,Fortuna Duesseldorf,10.7,6.54,17,Fortuna Duesseldorf,12.6,12.4,6.54,17,Fortuna Duesseldorf,2.5,0,6.54,17,Fortuna Duesseldorf,1.8,6.54,17,Fortuna Duesseldorf,17.2,6.54,17,Fortuna Duesseldorf,3.3,2,7,6.54,17,Fortuna Duesseldorf,3.7,0.2,2.3,1.2,6.54,17,Fortuna Duesseldorf,12.4,6,0.5,5.9,6.54,17,Fortuna Duesseldorf,1.1,0.2,0.8,0.1,6.54,17,Fortuna Duesseldorf,6.2,8.2,14.5,6.54,17,Fortuna Duesseldorf,14.4,7.7,6.54,17,Fortuna Duesseldorf,36.3,16.9,19.4,6.54,17,Fortuna Duesseldorf,381.1,34.3,32.6,258.2,55.9,6.54,17,Fortuna Duesseldorf,8.6,2.2,6.4,6.54,17,Fortuna Duesseldorf,0.3,0.1,0.1,0,0,0.4,0.8,6.54,17,Fortuna Duesseldorf,12.4,8.2,0.4,3.7,0.1,6.54,17,Fortuna Duesseldorf,2.6,0.8,0.2,0.6,0.2,5.4,6.54,Bundesliga,17,Fortuna Duesseldorf,14.7,14.8,10.7,12.4,1.8,6.54,17,Fortuna Duesseldorf,27,12.4,630,45.7,76.8,16.9,6.54,17,Fortuna Duesseldorf,4.7,15,1.4,2.8,10,2.7,6.54
18,Werder Bremen,15.5,10.2,25.7,6.51,18,Werder Bremen,12.1,6.51,18,Werder Bremen,13,12.6,6.51,18,Werder Bremen,2.1,0.1,6.51,18,Werder Bremen,1.5,6.51,18,Werder Bremen,21,6.51,18,Werder Bremen,3.6,2.4,6.9,6.51,18,Werder Bremen,3.1,0.1,1.7,1.3,6.51,18,Werder Bremen,12.9,5.2,0.6,7.1,6.51,18,Werder Bremen,1.1,0.2,0.6,0.2,6.51,18,Werder Bremen,5.9,7.7,13.6,6.51,18,Werder Bremen,16.8,10.7,6.51,18,Werder Bremen,36.7,17.2,19.5,6.51,18,Werder Bremen,448.7,26.5,30.3,327.1,64.8,6.51,18,Werder Bremen,9.6,1.8,7.9,6.51,18,Werder Bremen,0.3,0.1,0.1,0,0,0.4,0.8,6.51,18,Werder Bremen,12.9,9.2,0.4,3.2,0.2,6.51,18,Werder Bremen,2.6,1,0.1,0.5,0,6.7,6.51,Bundesliga,18,Werder Bremen,15.2,15.5,12.1,12.6,1.5,6.51,18,Werder Bremen,27,12.9,503,49.1,78.8,17.2,6.51,18,Werder Bremen,4.1,13.8,1.9,2.8,10.8,3,6.51
1,Real Madrid,16,10.6,26.6,6.99,1,Real Madrid,10.7,6.99,1,Real Madrid,11.9,12.9,6.99,1,Real Madrid,2,0.1,6.99,1,Real Madrid,2.1,6.99,1,Real Madrid,14.2,6.99,1,Real Madrid,2,1.9,7.2,6.99,1,Real Madrid,1.9,0.1,1.3,0.4,6.99,1,Real Madrid,16.1,6.4,1.3,8.4,6.99,1,Real Madrid,1.8,0.3,1.3,0.2,6.99,1,Real Madrid,7.4,12.5,19.9,6.99,1,Real Madrid,14.4,8.3,6.99,1,Real Madrid,27.3,15.9,11.4,6.99,1,Real Madrid,562.6,40.3,22.2,446.5,53.6,6.99,1,Real Madrid,12.6,2.3,10.3,6.99,1,Real Madrid,0.3,0,0,0.1,0,1,1.4,6.99,1,Real Madrid,16.1,11.5,0.4,4,0.2,6.99,1,Real Madrid,3.2,0.9,0.5,0.4,0.1,8.6,6.99,La Liga,1,Real Madrid,8.6,16,10.7,12.9,2.1,6.99,19,Real Madrid,49,16.1,544,56.4,86.5,15.9,6.99,1,Real Madrid,5.1,18,2.9,2.6,10.7,1.9,6.99
2,Barcelona,14.7,7.5,22.2,6.94,2,Barcelona,9.1,6.94,2,Barcelona,13.6,11.2,6.94,2,Barcelona,2.3,0.2,6.94,2,Barcelona,2.4,6.94,2,Barcelona,13.4,6.94,2,Barcelona,2.3,1.2,5.7,6.94,2,Barcelona,2.1,0.1,1,0.9,6.94,2,Barcelona,12.7,4.2,0.7,7.8,6.94,2,Barcelona,2.3,0.2,1.7,0.4,6.94,2,Barcelona,6.9,14,20.9,6.94,2,Barcelona,12.7,9.4,6.94,2,Barcelona,21.9,11.8,10,6.94,2,Barcelona,684.3,30.1,17,574.5,62.7,6.94,2,Barcelona,10,0.9,9.1,6.94,2,Barcelona,0.1,0,0.4,0.1,0,1.1,1.7,6.94,2,Barcelona,12.7,9.8,0.5,2.3,0.1,6.94,2,Barcelona,1.1,0.5,0.9,0.3,0,7.8,6.94,La Liga,2,Barcelona,9.9,14.7,9.1,11.2,2.4,6.94,20,Barcelona,63,12.7,625,62.1,88.4,11.8,6.94,2,Barcelona,2.4,8.2,2.5,2.1,13.7,1.1,6.94
3,Sevilla,16,10.3,26.3,6.79,3,Sevilla,8.9,6.79,3,Sevilla,12.3,14.3,6.79,3,Sevilla,2.7,0,6.79,3,Sevilla,2.6,6.79,3,Sevilla,18.1,6.79,3,Sevilla,2.1,1.4,6.5,6.79,3,Sevilla,1.9,0.1,0.9,0.9,6.79,3,Sevilla,13.1,3.8,1.1,8.2,6.79,3,Sevilla,1.4,0.4,0.9,0.1,6.79,3,Sevilla,7.1,11.2,18.4,6.79,3,Sevilla,14.5,9.3,6.79,3,Sevilla,40,20.4,19.7,6.79,3,Sevilla,508.7,39.4,31.1,378.7,59.5,6.79,3,Sevilla,9.6,2.4,7.2,6.79,3,Sevilla,0.2,0.1,0.1,0.1,0,0.6,1,6.79,3,Sevilla,13.1,8.4,0.6,4,0.1,6.79,3,Sevilla,3.6,1.1,0.4,0.3,0,5.4,6.79,La Liga,3,Sevilla,9.8,16,8.9,14.3,2.6,6.79,1,Sevilla,39,13.1,741,55.7,82.2,20.4,6.79,3,Sevilla,6.3,18,3.1,3,10.9,2.6,6.79
4,Atletico Madrid,16.9,9.3,26.1,6.77,4,Atletico Madrid,10.9,6.77,4,Atletico Madrid,13.2,13.9,6.77,4,Atletico Madrid,2.3,0.1,6.77,4,Atletico Madrid,3,6.77,4,Atletico Madrid,18.3,6.77,4,Atletico Madrid,2.9,1.7,7.4,6.77,4,Atletico Madrid,2.2,0.2,0.8,1.3,6.77,4,Atletico Madrid,12.1,4.1,1,7.1,6.77,4,Atletico Madrid,1.1,0.2,0.8,0.1,6.77,4,Atletico Madrid,5.5,9.5,15,6.77,4,Atletico Madrid,15.1,9.5,6.77,4,Atletico Madrid,43,23.1,19.8,6.77,4,Atletico Madrid,412.4,25.2,32.5,297.4,57.2,6.77,4,Atletico Madrid,8.9,1.8,7.1,6.77,4,Atletico Madrid,0.2,0,0.2,0,0,0.4,0.9,6.77,4,Atletico Madrid,12.1,7.9,0.4,3.6,0.1,6.77,4,Atletico Madrid,2.7,1.1,0.6,0.6,0.1,5.2,6.77,La Liga,4,Atletico Madrid,10.7,16.9,10.9,13.9,3,6.77,2,Atletico Madrid,31,12.1,632,48.6,78.2,23.1,6.77,4,Atletico Madrid,3.6,13,2.2,3.1,8.8,3.6,6.77
5,Villarreal,15.3,9.7,25,6.76,5,Villarreal,8.5,6.76,5,Villarreal,11,12.6,6.76,5,Villarreal,2.3,0,6.76,5,Villarreal,1.9,6.76,5,Villarreal,21.1,6.76,5,Villarreal,3.4,1.4,6,6.76,5,Villarreal,3,0.1,1.6,1.3,6.76,5,Villarreal,14.1,5.3,0.9,7.9,6.76,5,Villarreal,1.6,0.3,1.1,0.2,6.76,5,Villarreal,7,12,19.1,6.76,5,Villarreal,15.2,8.1,6.76,5,Villarreal,33.3,15.9,17.5,6.76,5,Villarreal,475.2,36.1,29.4,354.2,55.4,6.76,5,Villarreal,10.8,1.9,8.9,6.76,5,Villarreal,0.1,0,0.1,0,0,0.9,1,6.76,5,Villarreal,14.1,10.3,0.7,2.8,0.3,6.76,5,Villarreal,2.3,0.7,0.6,0.1,0.1,7.7,6.76,La Liga,5,Villarreal,13.6,15.3,8.5,12.6,1.9,6.76,3,Villarreal,44,14.1,610,53,82.1,15.9,6.76,5,Villarreal,3.8,14.4,2.2,2.1,10,2.2,6.76
6,Real Sociedad,14.3,8.9,23.2,6.75,6,Real Sociedad,8.1,6.75,6,Real Sociedad,12,13.7,6.75,6,Real Sociedad,1.9,0,6.75,6,Real Sociedad,2,6.75,6,Real Sociedad,18.5,6.75,6,Real Sociedad,2.5,1.5,7.1,6.75,6,Real Sociedad,2.7,0.1,1.6,1,6.75,6,Real Sociedad,11.6,3.8,1.1,6.7,6.75,6,Real Sociedad,1.7,0.2,1.3,0.2,6.75,6,Real Sociedad,6.1,9.6,15.7,6.75,6,Real Sociedad,15,9.4,6.75,6,Real Sociedad,41,21.9,19.1,6.75,6,Real Sociedad,479.6,25.9,27.5,362.8,63.4,6.75,6,Real Sociedad,8.7,1,7.7,6.75,6,Real Sociedad,0.3,0,0.1,0,0,0.7,1.1,6.75,6,Real Sociedad,11.6,7.9,0.7,2.8,0.2,6.75,6,Real Sociedad,2.1,0.7,0.4,0.5,0,5.8,6.75,La Liga,6,Real Sociedad,11.3,14.3,8.1,13.7,2,6.75,4,Real Sociedad,45,11.6,511,54.5,81,21.9,6.75,6,Real Sociedad,4.4,13.9,2.3,2.4,11,3,6.75
7,Athletic Bilbao,14.5,10.3,24.7,6.72,7,Athletic Bilbao,9.5,6.72,7,Athletic Bilbao,12.3,13.8,6.72,7,Athletic Bilbao,2.5,0,6.72,7,Athletic Bilbao,2.6,6.72,7,Athletic Bilbao,19.1,6.72,7,Athletic Bilbao,2,1.9,6.4,6.72,7,Athletic Bilbao,2.4,0.2,1.4,0.9,6.72,7,Athletic Bilbao,11.1,4.3,0.7,6.1,6.72,7,Athletic Bilbao,1.1,0.1,0.7,0.2,6.72,7,Athletic Bilbao,7.1,8.7,15.9,6.72,7,Athletic Bilbao,14.7,8.6,6.72,7,Athletic Bilbao,44.1,25.7,18.4,6.72,7,Athletic Bilbao,392.6,34.9,37,263.4,57.3,6.72,7,Athletic Bilbao,7.8,2,5.8,6.72,7,Athletic Bilbao,0.2,0,0,0.1,0,0.3,0.6,6.72,7,Athletic Bilbao,11.1,6.6,0.4,3.8,0.3,6.72,7,Athletic Bilbao,2.8,1.1,0.1,0.7,0,4.6,6.72,La Liga,7,Athletic Bilbao,9.6,14.5,9.5,13.8,2.6,6.72,5,Athletic Bilbao,29,11.1,671,49.4,76,25.7,6.72,7,Athletic Bilbao,4.9,15.7,2.3,2.6,9.2,3.7,6.72
8,Valencia,14,9.5,23.5,6.66,8,Valencia,9.9,6.66,8,Valencia,14.8,11.3,6.66,8,Valencia,2.2,0.2,6.66,8,Valencia,2.4,6.66,8,Valencia,18.9,6.66,8,Valencia,3.6,1.8,5.4,6.66,8,Valencia,3.6,0,2.2,1.4,6.66,8,Valencia,9.2,3.3,0.8,5.1,6.66,8,Valencia,1.4,0.3,0.9,0.1,6.66,8,Valencia,5.6,9.3,14.9,6.66,8,Valencia,14.2,7.9,6.66,8,Valencia,31.8,15.2,16.6,6.66,8,Valencia,429.5,28.7,30.1,321.3,49.4,6.66,8,Valencia,6.9,1.2,5.7,6.66,8,Valencia,0.2,0,0.1,0.1,0,0.6,1,6.66,8,Valencia,9.2,5.9,0.5,2.5,0.3,6.66,8,Valencia,2,0.7,0.3,0.4,0,4.5,6.66,La Liga,8,Valencia,15.2,14,9.9,11.3,2.4,6.66,6,Valencia,38,9.2,595,48.8,81.5,15.2,6.66,8,Valencia,3.4,13.9,2.2,2.4,12.7,2.3,6.66
9,Getafe,14.5,8.6,23.1,6.66,9,Getafe,9.4,6.66,9,Getafe,12.9,19,6.66,9,Getafe,3.4,0.1,6.66,9,Getafe,3,6.66,9,Getafe,14.9,6.66,9,Getafe,1.6,1.2,8.4,6.66,9,Getafe,2.1,0.2,1.3,0.6,6.66,9,Getafe,10.7,4,0.9,5.8,6.66,9,Getafe,1.4,0.3,0.9,0.1,6.66,9,Getafe,5.7,7.6,13.3,6.66,9,Getafe,16.7,8.2,6.66,9,Getafe,50,23.6,26.4,6.66,9,Getafe,298.5,30,49.7,155.2,63.5,6.66,9,Getafe,7.5,1.5,6,6.66,9,Getafe,0.5,0.1,0,0,0,0.4,1,6.66,9,Getafe,10.7,6.7,0.3,3.4,0.2,6.66,9,Getafe,2.8,0.4,0.1,0.4,0,4.2,6.66,La Liga,9,Getafe,7.4,14.5,9.4,19,3,6.66,7,Getafe,37,10.7,933,45,62.1,23.6,6.66,9,Getafe,4.6,16.9,2.5,2.6,8.5,6.7,6.66
10,Real Betis,13.4,8.1,21.5,6.65,10,Real Betis,8.6,6.65,10,Real Betis,15.1,12.2,6.65,10,Real Betis,2.8,0.3,6.65,10,Real Betis,2.3,6.65,10,Real Betis,18.7,6.65,10,Real Betis,3.5,1.7,5.7,6.65,10,Real Betis,2.7,0.2,1.6,0.9,6.65,10,Real Betis,12.3,4.4,0.9,7.1,6.65,10,Real Betis,1.4,0.3,0.9,0.1,6.65,10,Real Betis,7.3,11.6,19,6.65,10,Real Betis,14.6,9.7,6.65,10,Real Betis,30.5,15.4,15.1,6.65,10,Real Betis,457.4,28.4,28.4,349.7,50.9,6.65,10,Real Betis,9.3,1.2,8.1,6.65,10,Real Betis,0.1,0.1,0,0,0,0.8,1,6.65,10,Real Betis,12.3,8.7,0.5,2.9,0.2,6.65,10,Real Betis,2.2,0.6,0.3,0.2,0,6.7,6.65,La Liga,10,Real Betis,12.6,13.4,8.6,12.2,2.3,6.65,8,Real Betis,38,12.3,757,54.1,82.7,15.4,6.65,10,Real Betis,3.8,11.3,3,1.7,14.7,3.1,6.65
11,Granada,16.1,8.7,24.8,6.65,11,Granada,10.1,6.65,11,Granada,13,15.6,6.65,11,Granada,2.9,0,6.65,11,Granada,2,6.65,11,Granada,17.4,6.65,11,Granada,3.3,1.5,7.2,6.65,11,Granada,3,0.1,1.7,1.1,6.65,11,Granada,10.3,4.7,0.9,4.6,6.65,11,Granada,1.2,0.3,0.7,0.1,6.65,11,Granada,7,7.9,14.9,6.65,11,Granada,12.6,7.8,6.65,11,Granada,42.4,19.2,23.3,6.65,11,Granada,328.1,27.2,38.7,209.2,53,6.65,11,Granada,6.9,1.3,5.6,6.65,11,Granada,0.3,0.1,0.1,0,0,0.5,0.9,6.65,11,Granada,10.3,6.5,0.1,3.5,0.1,6.65,11,Granada,2.2,0.9,0.1,0.2,0,4.3,6.65,La Liga,11,Granada,12,16.1,10.1,15.6,2,6.65,9,Granada,33,10.3,771,45.4,72.1,19.2,6.65,11,Granada,3.9,14.5,2.3,2.1,8.1,5.4,6.65
